nt n field kernel bw
64 4 4D-complex axpy 0.6234
64 4 4D-complex axpy_h_no_offset 0.6326
64 4 4D-complex axpy_h_offset_x 0.6253
64 4 4D-complex axpy_h_offset_y 0.6316
64 4 4D-complex axpy_h_offset_z 0.6201
64 4 4D-complex axpy_h_offset_t 0.6258
64 4 4D-complex axpy_h_offset_xy 0.6282
64 4 4D-complex axpy_h_offset_xz 0.6258
64 4 4D-complex axpy_h_offset_xt 0.6268
64 4 4D-complex axpy_h_offset_yz 0.6234
64 4 4D-complex axpy_h_offset_yt 0.6178
64 4 4D-complex axpy_h_offset_zt 0.6316
64 4 4D-complex axpy_h_offset_xyz 0.6244
64 4 4D-complex axpy_h_offset_xyt 0.6206
64 4 4D-complex axpy_h_offset_xzt 0.6306
64 4 4D-complex axpy_h_offset_yzt 0.6268
64 4 4D-complex axpy_h_offset_xyzt 0.6282
64 4 Gauge-SU3 su3Xsu3 29.6712
64 4 Gauge-SU3 su3Xsu3_h_no_shift 29.1607
64 4 Gauge-SU3 su3Xsu3_h_shift_x 29.3737
64 4 Gauge-SU3 su3Xsu3_h_shift_y 29.5306
64 4 Gauge-SU3 su3Xsu3_h_shift_z 29.1204
64 4 Gauge-SU3 su3Xsu3_h_shift_t 29.8293
64 4 Gauge-SU3 su3Xsu3_h_shift_xy 29.2765
64 4 Gauge-SU3 su3Xsu3_h_shift_xz 29.1799
64 4 Gauge-SU3 su3Xsu3_h_shift_xt 29.5089
64 4 Gauge-SU3 su3Xsu3_h_shift_yz 28.8564
64 4 Gauge-SU3 su3Xsu3_h_shift_yt 29.5898
64 4 Gauge-SU3 su3Xsu3_h_shift_zt 29.7091
64 4 Gauge-SU3 su3Xsu3_h_shift_xyz 29.3347
64 4 Gauge-SU3 su3Xsu3_h_shift_xyt 29.3913
64 4 Gauge-SU3 su3Xsu3_h_shift_xzt 29.2765
64 4 Gauge-SU3 su3Xsu3_h_shift_yzt 29.2959
64 4 Gauge-SU3 su3Xsu3_h_shift_xyzt 29.4519
64 6 4D-complex axpy 3.0405
64 6 4D-complex axpy_h_no_offset 2.9434
