nt n field kernel bw
32 4 4D-complex axpy 0.6815
32 4 4D-complex axpy_h_no_offset 0.6698
32 4 4D-complex axpy_h_offset_x 0.6548
32 4 4D-complex axpy_h_offset_y 0.6507
32 4 4D-complex axpy_h_offset_z 0.6644
32 4 4D-complex axpy_h_offset_t 0.6655
32 4 4D-complex axpy_h_offset_xy 0.6533
32 4 4D-complex axpy_h_offset_xz 0.6644
32 4 4D-complex axpy_h_offset_xt 0.6580
32 4 4D-complex axpy_h_offset_yz 0.6601
32 4 4D-complex axpy_h_offset_yt 0.6867
32 4 4D-complex axpy_h_offset_zt 0.6878
32 4 4D-complex axpy_h_offset_xyz 0.6633
32 4 4D-complex axpy_h_offset_xyt 0.6872
32 4 4D-complex axpy_h_offset_xzt 0.6671
32 4 4D-complex axpy_h_offset_yzt 0.6507
32 4 4D-complex axpy_h_offset_xyzt 0.6533
32 4 Gauge-SU3 su3Xsu3 28.2645
32 4 Gauge-SU3 su3Xsu3_h_no_shift 27.8569
32 4 Gauge-SU3 su3Xsu3_h_shift_x 28.2122
32 4 Gauge-SU3 su3Xsu3_h_shift_y 28.4847
32 4 Gauge-SU3 su3Xsu3_h_shift_z 28.7831
32 4 Gauge-SU3 su3Xsu3_h_shift_t 28.4463
32 4 Gauge-SU3 su3Xsu3_h_shift_xy 27.8745
32 4 Gauge-SU3 su3Xsu3_h_shift_xz 27.7852
32 4 Gauge-SU3 su3Xsu3_h_shift_xt 27.9273
32 4 Gauge-SU3 su3Xsu3_h_shift_yz 27.9803
32 4 Gauge-SU3 su3Xsu3_h_shift_yt 27.7173
32 4 Gauge-SU3 su3Xsu3_h_shift_zt 27.6826
32 4 Gauge-SU3 su3Xsu3_h_shift_xyz 28.2302
32 4 Gauge-SU3 su3Xsu3_h_shift_xyt 27.6982
32 4 Gauge-SU3 su3Xsu3_h_shift_xzt 27.6653
32 4 Gauge-SU3 su3Xsu3_h_shift_yzt 27.7347
32 4 Gauge-SU3 su3Xsu3_h_shift_xyzt 27.6135
32 6 4D-complex axpy 3.6604
32 6 4D-complex axpy_h_no_offset 3.5875
32 6 4D-complex axpy_h_offset_x 3.5783
32 6 4D-complex axpy_h_offset_y 3.5752
32 6 4D-complex axpy_h_offset_z 3.5568
32 6 4D-complex axpy_h_offset_t 3.6125
32 6 4D-complex axpy_h_offset_xy 3.5660
32 6 4D-complex axpy_h_offset_xz 3.5813
32 6 4D-complex axpy_h_offset_xt 3.5875
32 6 4D-complex axpy_h_offset_yz 3.5752
32 6 4D-complex axpy_h_offset_yt 3.6568
32 6 4D-complex axpy_h_offset_zt 3.5568
32 6 4D-complex axpy_h_offset_xyz 3.6283
32 6 4D-complex axpy_h_offset_xyt 3.6536
32 6 4D-complex axpy_h_offset_xzt 3.7531
32 6 4D-complex axpy_h_offset_yzt 3.6347
32 6 4D-complex axpy_h_offset_xyzt 3.6220
32 6 Gauge-SU3 su3Xsu3 121.7775
32 6 Gauge-SU3 su3Xsu3_h_no_shift 121.1844
32 6 Gauge-SU3 su3Xsu3_h_shift_x 121.3157
32 6 Gauge-SU3 su3Xsu3_h_shift_y 121.1189
32 6 Gauge-SU3 su3Xsu3_h_shift_z 121.7113
32 6 Gauge-SU3 su3Xsu3_h_shift_t 121.2500
32 6 Gauge-SU3 su3Xsu3_h_shift_xy 121.1844
32 6 Gauge-SU3 su3Xsu3_h_shift_xz 120.4026
32 6 Gauge-SU3 su3Xsu3_h_shift_xt 120.7271
32 6 Gauge-SU3 su3Xsu3_h_shift_yz 121.4473
32 6 Gauge-SU3 su3Xsu3_h_shift_yt 120.5971
32 6 Gauge-SU3 su3Xsu3_h_shift_zt 120.3379
32 6 Gauge-SU3 su3Xsu3_h_shift_xyz 123.1164
32 6 Gauge-SU3 su3Xsu3_h_shift_xyt 122.0429
32 6 Gauge-SU3 su3Xsu3_h_shift_xzt 122.1095
32 6 Gauge-SU3 su3Xsu3_h_shift_yzt 120.8509
32 6 Gauge-SU3 su3Xsu3_h_shift_xyzt 120.7922
32 8 4D-complex axpy 10.6045
32 8 4D-complex axpy_h_no_offset 10.3861
32 8 4D-complex axpy_h_offset_x 10.5110
32 8 4D-complex axpy_h_offset_y 10.6823
32 8 4D-complex axpy_h_offset_z 10.3943
32 8 4D-complex axpy_h_offset_t 10.5703
32 8 4D-complex axpy_h_offset_xy 10.3943
32 8 4D-complex axpy_h_offset_xz 10.6381
32 8 4D-complex axpy_h_offset_xt 10.3861
32 8 4D-complex axpy_h_offset_yz 10.4440
32 8 4D-complex axpy_h_offset_yt 10.3614
32 8 4D-complex axpy_h_offset_zt 10.5279
32 8 4D-complex axpy_h_offset_xyz 10.6131
32 8 4D-complex axpy_h_offset_xyt 10.8954
32 8 4D-complex axpy_h_offset_xzt 10.5026
32 8 4D-complex axpy_h_offset_yzt 10.4774
32 8 4D-complex axpy_h_offset_xyzt 10.3459
32 8 Gauge-SU3 su3Xsu3 355.3157
32 8 Gauge-SU3 su3Xsu3_h_no_shift 346.1070
32 8 Gauge-SU3 su3Xsu3_h_shift_x 359.1014
32 8 Gauge-SU3 su3Xsu3_h_shift_y 356.9283
32 8 Gauge-SU3 su3Xsu3_h_shift_z 355.3157
32 8 Gauge-SU3 su3Xsu3_h_shift_t 350.2171
32 8 Gauge-SU3 su3Xsu3_h_shift_xy 346.9553
32 8 Gauge-SU3 su3Xsu3_h_shift_xz 348.8191
32 8 Gauge-SU3 su3Xsu3_h_shift_xt 352.4845
32 8 Gauge-SU3 su3Xsu3_h_shift_yz 346.9553
32 8 Gauge-SU3 su3Xsu3_h_shift_yt 352.6601
32 8 Gauge-SU3 su3Xsu3_h_shift_zt 349.6980
32 8 Gauge-SU3 su3Xsu3_h_shift_xyz 347.1255
32 8 Gauge-SU3 su3Xsu3_h_shift_xyt 350.7378
32 8 Gauge-SU3 su3Xsu3_h_shift_xzt 347.6369
32 8 Gauge-SU3 su3Xsu3_h_shift_yzt 350.2171
32 8 Gauge-SU3 su3Xsu3_h_shift_xyzt 347.9788
32 10 4D-complex axpy 25.0195
32 10 4D-complex axpy_h_no_offset 25.3365
32 10 4D-complex axpy_h_offset_x 24.8043
32 10 4D-complex axpy_h_offset_y 24.8428
32 10 4D-complex axpy_h_offset_z 24.8447
32 10 4D-complex axpy_h_offset_t 24.7295
32 10 4D-complex axpy_h_offset_xy 24.9805
32 10 4D-complex axpy_h_offset_xz 24.8447
32 10 4D-complex axpy_h_offset_xt 24.8834
32 10 4D-complex axpy_h_offset_yz 24.8640
32 10 4D-complex axpy_h_offset_yt 24.9221
32 10 4D-complex axpy_h_offset_zt 25.4777
32 10 4D-complex axpy_h_offset_xyz 24.8062
32 10 4D-complex axpy_h_offset_xyt 24.8640
32 10 4D-complex axpy_h_offset_xzt 24.9221
32 10 4D-complex axpy_h_offset_yzt 24.8834
32 10 4D-complex axpy_h_offset_xyzt 24.8062
32 10 Gauge-SU3 su3Xsu3 552.0767
32 10 Gauge-SU3 su3Xsu3_h_no_shift 548.0495
32 10 Gauge-SU3 su3Xsu3_h_shift_x 545.2824
32 10 Gauge-SU3 su3Xsu3_h_shift_y 554.3792
32 10 Gauge-SU3 su3Xsu3_h_shift_z 546.3168
32 10 Gauge-SU3 su3Xsu3_h_shift_t 549.6183
32 10 Gauge-SU3 su3Xsu3_h_shift_xy 544.9385
32 10 Gauge-SU3 su3Xsu3_h_shift_xz 544.7495
32 10 Gauge-SU3 su3Xsu3_h_shift_xt 549.4436
32 10 Gauge-SU3 su3Xsu3_h_shift_yz 547.5285
32 10 Gauge-SU3 su3Xsu3_h_shift_yt 547.0085
32 10 Gauge-SU3 su3Xsu3_h_shift_zt 547.5112
32 10 Gauge-SU3 su3Xsu3_h_shift_xyz 551.3720
32 10 Gauge-SU3 su3Xsu3_h_shift_xyt 545.4373
32 10 Gauge-SU3 su3Xsu3_h_shift_xzt 544.9385
32 10 Gauge-SU3 su3Xsu3_h_shift_yzt 543.7211
32 10 Gauge-SU3 su3Xsu3_h_shift_xyzt 545.7991
32 12 4D-complex axpy 52.2482
32 12 4D-complex axpy_h_no_offset 51.6785
32 12 4D-complex axpy_h_offset_x 51.3585
32 12 4D-complex axpy_h_offset_y 51.6423
32 12 4D-complex axpy_h_offset_z 51.3188
32 12 4D-complex axpy_h_offset_t 51.5580
32 12 4D-complex axpy_h_offset_xy 52.2482
32 12 4D-complex axpy_h_offset_xz 51.5180
32 12 4D-complex axpy_h_offset_xt 52.0433
32 12 4D-complex axpy_h_offset_yz 51.6785
32 12 4D-complex axpy_h_offset_yt 51.4381
32 12 4D-complex axpy_h_offset_zt 51.9618
32 12 4D-complex axpy_h_offset_xyz 51.2000
32 12 4D-complex axpy_h_offset_xyt 53.2161
32 12 4D-complex axpy_h_offset_xzt 53.4261
32 12 4D-complex axpy_h_offset_yzt 52.5794
32 12 4D-complex axpy_h_offset_xyzt 52.5378
32 12 Gauge-SU3 su3Xsu3 761.0834
32 12 Gauge-SU3 su3Xsu3_h_no_shift 757.0633
32 12 Gauge-SU3 su3Xsu3_h_shift_x 753.5448
32 12 Gauge-SU3 su3Xsu3_h_shift_y 757.0473
32 12 Gauge-SU3 su3Xsu3_h_shift_z 762.5411
32 12 Gauge-SU3 su3Xsu3_h_shift_t 761.8926
32 12 Gauge-SU3 su3Xsu3_h_shift_xy 749.1492
32 12 Gauge-SU3 su3Xsu3_h_shift_xz 758.9716
32 12 Gauge-SU3 su3Xsu3_h_shift_xt 749.4626
32 12 Gauge-SU3 su3Xsu3_h_shift_yz 758.4896
32 12 Gauge-SU3 su3Xsu3_h_shift_yt 764.8198
32 12 Gauge-SU3 su3Xsu3_h_shift_zt 755.9453
32 12 Gauge-SU3 su3Xsu3_h_shift_xyz 744.3251
32 12 Gauge-SU3 su3Xsu3_h_shift_xyt 752.1370
32 12 Gauge-SU3 su3Xsu3_h_shift_xzt 761.5687
32 12 Gauge-SU3 su3Xsu3_h_shift_yzt 772.0542
32 12 Gauge-SU3 su3Xsu3_h_shift_xyzt 763.6788
32 16 4D-complex axpy 155.2296
32 16 4D-complex axpy_h_no_offset 155.9221
32 16 4D-complex axpy_h_offset_x 154.2024
32 16 4D-complex axpy_h_offset_y 154.0891
32 16 4D-complex axpy_h_offset_z 157.4438
32 16 4D-complex axpy_h_offset_t 155.9221
32 16 4D-complex axpy_h_offset_xy 153.9759
32 16 4D-complex axpy_h_offset_xz 154.6572
32 16 4D-complex axpy_h_offset_xt 155.9221
32 16 4D-complex axpy_h_offset_yz 156.8433
32 16 4D-complex axpy_h_offset_yt 156.8668
32 16 4D-complex axpy_h_offset_zt 159.8439
32 16 4D-complex axpy_h_offset_xyz 156.9725
